ID	TARGET_D	GiftCnt36	GiftCntAll	GiftCntCardAll	GiftAvgLast	GiftAvg36	GiftAvgAll	GiftTimeLast	GiftTimeFirst	DemAge	DemGender	DemHomeOwner	DemMedHomeValue	DemPctVeterans	DemMedIncome
00107298	43,00	2	10	3	33,00	87,50	38,00	17	75	53	F	U	0,00	24	0,00
00082518	42,00	4	7	4	40,00	35,50	30,29	16	61	87	M	H	90600,00	14	76519,00
00025804	41,00	3	3	2	32,00	32,33	32,33	19	29	41	M	H	127600,00	29	57094,00
00128987	41,00	3	9	5	41,00	37,67	26,33	17	79	58	F	H	124700,00	22	42710,00
00133042	40,00	2	2	2	30,00	27,50	27,50	17	21	84	M	H	42700,00	25	36133,00
00140723	40,00	1	3	3	28,00	28,00	17,67	26	52	77	M	U	72900,00	51	55375,00
00142203	40,00	2	4	3	30,00	27,50	17,75	17	53	51	F	H	102900,00	38	70227,00
00000894	40,00	10	34	12	21,00	19,40	17,06	4	64	57	M	H	86000,00	40	48783,00
00066265	40,00	2	12	7	25,00	25,00	20,42	23	105	52	M	H	49700,00	36	50898,00
00150497	40,00	2	2	0	25,00	17,50	17,50	15	27	20	M	H	334300,00	37	62979,00
00013523	40,00	2	4	1	25,00	20,00	14,00	18	56	56	F	U	46300,00	36	28846,00
00188896	40,00	1	1	0	25,00	25,00	25,00	15	17	65	M	U	70500,00	33	37250,00
00144351	40,00	2	13	10	25,00	22,50	11,46	21	126	61	F	H	285500,00	17	47073,00
00064650	40,00	2	2	2	30,00	26,50	26,50	24	33	64	M	U	58700,00	21	46250,00
00067147	40,00	1	6	5	23,00	23,00	9,17	18	104	36	M	H	101100,00	31	67354,00
00068618	40,00	3	31	15	10,00	28,33	17,23	18	128	63	M	H	72600,00	26	57274,00
00165385	40,00	2	8	6	40,00	37,50	29,00	17	93	82	M	U	367500,00	29	134096,00
00063104	40,00	3	15	13	32,00	26,33	12,80	16	127	51	M	U	55100,00	37	59357,00
00088886	40,00	1	3	1	25,00	40,00	35,00	18	44	43	M	H	96200,00	32	72452,00
00094884	40,00	1	3	1	35,00	35,00	30,00	18	57	54	M	H	92700,00	23	53637,00
00008863	40,00	1	5	2	25,00	25,00	18,00	20	57	42	M	H	130700,00	35	61523,00
00020065	40,00	2	7	3	24,00	32,00	20,86	25	77	44	U	U	72200,00	28	0,00
00163316	40,00	3	4	2	35,00	30,00	28,75	17	38	63	M	H	476900,00	19	80063,00
00186271	40,00	1	7	4	40,00	35,00	19,86	9	79	77	M	H	352900,00	18	104720,00
00001673	40,00	5	32	20	14,00	12,80	9,69	21	127	67	F	H	103300,00	19	44032,00
00142564	38,00	1	3	1	19,00	19,00	10,33	18	41	73	M	H	194300,00	29	39013,00
00155607	38,00	6	16	6	37,00	36,33	34,00	15	85	43	F	H	315200,00	28	70541,00
00029215	38,00	3	8	4	26,00	23,67	17,38	18	67	77	F	U	92000,00	30	0,00
00021885	38,00	2	18	9	38,00	38,00	27,28	26	119	75	M	H	109500,00	38	49451,00
00038632	38,00	12	45	24	20,00	20,67	13,51	16	129	47	F	H	86000,00	23	56969,00
00147406	38,00	3	17	12	25,00	28,67	30,94	18	105	69	M	U	520900,00	27	0,00
00177516	37,00	2	7	2	22,00	19,00	13,43	18	88	76	M	H	71800,00	34	38523,00
00152847	37,00	5	21	9	22,00	18,40	14,81	19	97	77	M	H	279900,00	51	50607,00
00074436	37,00	3	7	4	25,00	20,67	16,00	17	61	40	M	H	42900,00	40	37726,00
00129598	37,00	2	7	2	30,00	30,00	23,86	24	79	47	M	U	75600,00	33	0,00
00032485	37,00	3	12	6	25,00	21,67	11,67	15	104	61	F	H	66300,00	40	42391,00
00057092	36,00	3	6	5	40,00	34,67	23,67	16	52	44	M	H	111000,00	33	46974,00
00071744	36,00	2	8	6	25,00	24,50	17,00	17	105	86	M	U	72700,00	19	61719,00
00140464	36,00	2	2	1	27,00	21,00	21,00	16	19	45	F	U	57300,00	24	38633,00
00003763	36,00	8	17	7	25,00	26,50	48,53	4	69	75	M	U	69400,00	38	0,00
00168038	36,00	4	9	7	40,00	32,50	20,00	17	87	50	M	H	593900,00	21	163017,00
00169224	36,00	4	7	4	23,00	20,50	15,57	18	75	75	F	H	117800,00	37	36238,00
00148949	36,00	2	2	1	36,00	36,00	36,00	26	33	73	F	H	179500,00	26	41190,00
00093538	36,00	1	3	2	26,00	26,00	20,67	26	67	72	F	H	43800,00	11	25265,00
00168275	36,00	3	13	10	23,00	20,00	13,69	24	93	77	U	H	337300,00	41	82099,00
00000403	35,00	1	10	4	35,00	20,00	33,50	7	83	58	U	U	76500,00	0	60721,00
00152816	35,00	2	3	0	20,00	17,50	15,00	25	31	65	F	H	199000,00	31	50607,00
00104442	35,00	2	6	3	35,00	32,50	23,33	19	74	51	F	H	217200,00	25	60858,00
00041445	35,00	1	2	0	20,00	20,00	17,50	26	35	45	M	H	100700,00	26	61534,00
00168535	35,00	1	3	3	35,00	35,00	25,00	25	77	43	M	H	210300,00	9	68093,00
00121640	35,00	1	1	1	20,00	20,00	20,00	17	17	33	F	H	120500,00	18	84607,00
00160178	35,00	2	9	4	25,00	25,00	12,00	26	91	79	M	H	239900,00	26	58354,00
00001371	35,00	3	5	2	20,00	20,00	20,00	19	53	75	F	U	275300,00	30	0,00
00150644	35,00	2	2	2	35,00	32,50	32,50	17	31	49	F	H	330400,00	22	62979,00
00074408	35,00	1	8	6	30,00	30,00	18,13	18	113	81	M	H	29400,00	31	34159,00
00044351	35,00	1	5	2	20,00	20,00	9,40	19	66	79	M	H	94800,00	53	45651,00
00166899	35,00	2	6	3	25,00	30,00	22,50	18	64	61	F	H	215300,00	29	78646,00
00064008	35,00	3	4	1	21,00	17,00	19,00	15	31	35	M	H	88700,00	30	37546,00
00016777	35,00	2	2	1	25,00	15,00	15,00	15	29	45	F	H	96400,00	29	0,00
00072851	35,00	2	19	14	30,00	27,50	13,11	19	129	85	F	U	41700,00	28	43514,00
00028681	35,00	1	5	2	25,00	25,00	9,80	26	81	50	M	H	89600,00	36	43621,00
00157295	35,00	1	13	9	30,00	30,00	11,54	21	105	82	U	H	550000,00	19	88905,00
00079702	35,00	1	2	1	25,00	25,00	20,00	18	39	39	M	U	123200,00	23	88407,00
00000718	35,00	3	16	4	36,00	40,67	22,56	18	105	75	F	H	121500,00	33	44440,00
00009537	35,00	2	9	6	15,00	27,50	19,22	8	121	54	F	H	75300,00	38	53357,00
00163591	35,00	2	7	3	35,00	31,00	23,14	15	79	75	M	U	391900,00	26	0,00
00159721	35,00	1	11	6	20,00	20,00	11,36	23	123	59	F	H	68300,00	25	36250,00
00067954	35,00	3	4	2	25,00	18,33	16,25	17	33	66	F	U	31300,00	16	50028,00
00001925	35,00	3	3	2	25,00	18,33	18,33	23	33	72	M	H	346100,00	41	57132,00
00153319	35,00	1	1	1	20,00	20,00	20,00	20	20	51	F	H	151000,00	33	47281,00
00162254	35,00	2	6	3	25,00	22,50	19,17	18	104	39	F	H	556400,00	34	145836,00
00162687	35,00	3	5	0	24,00	20,33	15,40	18	44	57	F	U	323800,00	24	104932,00
00149433	35,00	2	17	8	30,00	28,50	15,18	18	128	76	M	U	215900,00	31	0,00
00178433	35,00	1	5	2	30,00	30,00	19,60	17	113	62	M	H	60500,00	23	40563,00
00013089	34,00	2	11	1	25,00	25,50	20,18	5	65	35	F	H	78200,00	26	61835,00
00027944	33,00	1	7	4	10,00	25,00	13,86	18	105	47	F	U	68700,00	31	0,00
00186807	33,00	1	2	0	25,00	23,00	24,00	7	16	50	F	U	554400,00	28	0,00
00000268	33,00	8	21	7	35,00	25,88	22,38	8	87	37	F	U	176500,00	50	61523,00
00136607	32,00	2	16	12	25,00	27,50	14,63	18	128	75	M	H	140200,00	43	85733,00
00136049	32,00	4	16	9	30,00	26,50	19,63	19	127	78	F	U	91300,00	60	0,00
00073873	32,00	3	9	6	27,00	24,00	15,22	19	105	81	M	U	111400,00	32	77218,00
00007173	32,00	7	15	9	26,00	25,14	17,73	18	124	67	F	U	85400,00	31	38328,00
00099298	32,00	3	8	5	25,00	23,33	16,50	24	53	57	M	H	70300,00	34	55923,00
00037698	32,00	2	7	5	25,00	22,50	15,29	20	78	55	M	U	90600,00	20	0,00
00008989	32,00	5	26	15	16,00	14,00	10,50	15	123	83	F	H	102400,00	44	57666,00
00183193	31,00	3	15	7	16,00	12,67	9,00	16	75	39	F	H	69600,00	40	51574,00
00005074	31,00	1	17	8	26,00	26,00	22,88	24	115	80	M	H	108900,00	40	47008,00
00036460	31,00	5	5	2	25,00	24,00	24,00	19	33	75	F	H	363700,00	34	34619,00
00001254	30,00	1	3	1	25,00	25,00	25,00	26	56	49	M	H	110200,00	22	76187,00
00068563	30,00	2	2	2	25,00	22,50	22,50	21	23	61	F	H	211900,00	24	138188,00
00045367	30,00	1	1	1	25,00	25,00	25,00	23	23	32	M	U	117200,00	38	0,00
00102011	30,00	3	13	6	28,00	27,00	19,92	15	93	43	F	U	57600,00	35	57228,00
00023263	30,00	3	5	2	20,00	18,67	19,60	20	44	64	F	U	49000,00	27	40705,00
00145982	30,00	2	11	5	70,00	55,00	33,00	18	86	39	F	U	205100,00	37	0,00
00176409	30,00	2	10	6	20,00	15,00	12,40	20	91	56	M	H	70900,00	45	46772,00
00156224	30,00	2	2	1	30,00	26,50	26,50	26	33	50	M	H	493300,00	73	35691,00
00053753	30,00	2	13	7	20,00	20,00	15,85	19	99	44	F	H	123900,00	37	94790,00
00018836	30,00	2	9	5	25,00	20,00	10,89	20	128	60	F	H	55200,00	34	43669,00
00071427	30,00	1	4	2	19,00	19,00	16,50	26	77	42	M	U	91400,00	28	41448,00
00020401	30,00	2	6	4	20,00	22,50	16,17	26	57	65	F	H	47600,00	22	41771,00
00138590	30,00	2	6	1	20,00	15,00	12,00	18	49	44	F	H	109400,00	35	82752,00
00037762	30,00	2	2	1	25,00	14,00	14,00	18	29	63	M	H	198700,00	22	27206,00
00155382	30,00	0	20	7	15,00	0,00	15,85	26	97	64	F	U	97800,00	39	32645,00
00052549	30,00	3	9	5	25,00	20,00	13,11	16	77	42	M	H	55600,00	32	35941,00
00127166	30,00	7	23	13	20,00	25,00	18,48	18	128	71	U	H	149000,00	23	97638,00
00100640	30,00	2	7	3	29,00	30,50	25,57	15	65	36	M	H	76400,00	45	64196,00
00035325	30,00	1	7	6	30,00	30,00	12,14	15	119	79	M	H	83300,00	41	49287,00
00175708	30,00	2	2	1	25,00	25,00	25,00	18	32	55	M	H	53200,00	65	47713,00
00164989	30,00	2	8	6	20,00	17,50	13,38	23	53	65	F	H	528700,00	41	121055,00
00093334	30,00	2	2	1	30,00	27,50	27,50	18	24	50	F	U	61900,00	27	40131,00
00130426	30,00	1	1	1	25,00	25,00	25,00	16	16	26	F	H	83100,00	28	46809,00
00015349	30,00	1	1	0	20,00	20,00	20,00	19	19	75	M	U	65100,00	30	0,00
00112319	30,00	2	5	4	20,00	20,00	17,00	18	75	65	F	U	89200,00	49	44526,00
00181941	30,00	3	3	3	25,00	25,00	25,00	21	28	75	F	U	55100,00	45	36538,00
00063990	30,00	3	3	0	25,00	23,33	23,33	19	32	53	M	U	43000,00	36	42507,00
00174568	30,00	2	2	2	20,00	15,00	15,00	24	29	82	F	H	77000,00	43	49142,00
00079399	30,00	1	16	11	30,00	30,00	17,50	21	130	42	M	U	48700,00	21	55086,00
00026946	30,00	1	1	1	23,00	23,00	23,00	20	20	27	F	H	167200,00	0	105806,00
00100411	30,00	2	8	4	25,00	30,00	26,25	20	105	31	M	H	73300,00	42	52582,00
00095879	30,00	3	5	2	20,00	21,67	23,00	16	45	54	F	H	36300,00	35	45055,00
00054441	30,00	1	8	5	25,00	25,00	12,75	17	85	56	F	H	46300,00	20	55190,00
00152380	30,00	3	10	5	35,00	31,67	22,20	19	125	82	M	H	232500,00	33	54152,00
00142241	30,00	2	5	4	16,00	18,00	13,20	18	57	62	F	H	236800,00	45	73713,00
00044154	30,00	1	2	1	20,00	20,00	15,00	26	53	55	F	U	138200,00	39	0,00
00136721	30,00	2	2	2	25,00	22,50	22,50	20	29	63	F	H	89100,00	26	51759,00
00087939	30,00	1	7	3	25,00	25,00	13,00	18	75	7	M	U	529400,00	29	0,00
00102163	30,00	1	1	1	25,00	25,00	25,00	15	15	54	F	H	82500,00	41	56157,00
00157307	30,00	1	1	1	25,00	25,00	25,00	16	16	37	M	H	325400,00	25	47580,00
00125005	30,00	3	7	3	20,00	18,00	12,29	26	52	75	F	H	49600,00	54	59069,00
00046981	30,00	5	18	12	25,00	29,00	20,72	17	113	76	M	U	95200,00	36	66514,00
00012644	30,00	2	27	5	30,00	27,50	16,48	4	170	58	M	H	68500,00	36	46006,00
00090694	30,00	2	5	2	25,00	20,00	19,40	18	40	82	F	H	140100,00	34	76673,00
00016175	30,00	1	1	1	25,00	25,00	25,00	24	24	69	F	U	44400,00	15	45566,00
00067495	30,00	3	8	4	25,00	20,00	13,88	15	88	43	F	H	91300,00	21	64385,00
00109683	30,00	3	5	3	25,00	9,33	12,60	18	45	59	F	U	64700,00	24	42281,00
00162494	30,00	1	8	6	20,00	20,00	21,88	24	78	41	M	U	237500,00	32	78892,00
00173563	30,00	6	10	3	5,00	12,50	10,60	15	53	67	F	H	202700,00	20	58689,00
00055358	30,00	3	6	2	25,00	20,00	15,83	16	55	49	F	H	42600,00	0	27418,00
00171358	30,00	3	13	8	25,00	25,00	19,62	19	124	79	M	H	263100,00	53	86625,00
00167138	30,00	1	1	1	20,00	20,00	20,00	21	21	44	F	H	212500,00	20	78418,00
00122001	30,00	2	2	2	16,00	13,00	13,00	22	33	37	M	H	59700,00	24	53360,00
00030185	30,00	2	3	0	15,00	12,50	10,00	26	39	33	F	U	74800,00	48	46174,00
00068441	30,00	2	2	2	30,00	27,50	27,50	17	33	55	F	H	34800,00	21	29143,00
00035463	30,00	2	10	8	20,00	20,00	20,00	20	128	60	M	H	102800,00	46	53710,00
00052071	30,00	1	1	1	20,00	20,00	20,00	21	21	42	F	U	42900,00	31	39399,00
00067342	30,00	3	7	4	20,00	15,00	11,29	18	57	83	M	U	88600,00	25	83609,00
00013727	30,00	3	13	5	33,00	23,33	20,46	7	52	39	F	U	67500,00	33	57358,00
00015416	30,00	1	1	1	20,00	20,00	20,00	24	24	47	M	H	85900,00	25	51013,00
00009784	30,00	2	10	3	30,00	27,50	17,70	8	84	50	M	U	84000,00	32	50504,00
00038664	30,00	1	1	1	30,00	30,00	30,00	17	17	65	M	H	102500,00	15	56250,00
00067422	30,00	2	2	0	35,00	25,00	25,00	15	28	76	F	H	47500,00	35	56710,00
00006185	30,00	2	11	6	20,00	12,50	13,64	9	89	72	F	H	225800,00	28	42822,00
00147464	30,00	1	1	1	20,00	20,00	20,00	17	17	64	M	H	228700,00	30	60896,00
00089036	30,00	3	10	2	12,00	11,33	9,50	16	53	72	F	U	189200,00	33	91659,00
00113680	30,00	1	1	1	20,00	20,00	20,00	17	17	45	M	H	33100,00	32	42708,00
00154166	30,00	1	1	1	25,00	25,00	25,00	20	20	48	U	H	115100,00	33	42299,00
00116950	30,00	3	10	6	30,00	25,00	13,00	16	53	81	F	U	63900,00	26	36142,00
00007590	30,00	1	14	3	35,00	30,00	22,29	4	93	37	F	U	68900,00	11	40197,00
00177640	30,00	2	24	14	30,00	28,50	18,96	18	122	48	M	H	60000,00	37	33281,00
00026887	30,00	0	1	0	25,00	0,00	25,00	22	22	49	F	H	91400,00	38	67625,00
00168549	30,00	1	1	1	25,00	25,00	25,00	21	21	37	F	H	335500,00	32	110423,00
00093742	30,00	1	4	1	20,00	20,00	20,00	21	100	62	F	H	56200,00	28	44965,00
00155970	30,00	4	4	3	50,00	28,75	28,75	17	29	53	F	H	155500,00	33	64506,00
00121718	30,00	2	2	2	20,00	17,50	17,50	23	33	76	M	H	113900,00	32	62316,00
00190577	30,00	3	21	15	30,00	23,33	11,71	17	130	41	F	U	78600,00	44	43093,00
00117216	30,00	4	4	4	24,00	10,25	10,25	16	33	35	F	H	61800,00	39	35439,00
00126530	30,00	1	1	1	25,00	25,00	25,00	16	16	53	M	H	36900,00	28	25184,00
00150386	30,00	2	3	0	17,00	16,00	14,00	18	52	65	F	U	192100,00	26	58078,00
00019641	30,00	2	2	0	25,00	17,50	17,50	19	27	53	F	H	56200,00	23	41391,00
00057052	29,00	2	7	6	24,00	21,00	16,57	20	76	50	U	H	68300,00	31	58413,00
00026410	28,00	3	3	2	25,00	20,33	20,33	21	32	75	F	H	82100,00	24	58698,00
00176833	28,00	4	16	6	26,00	21,50	15,44	16	64	51	F	U	63400,00	44	36745,00
00031977	28,00	3	6	5	22,00	22,33	18,50	20	77	70	F	H	151300,00	35	92425,00
00100369	28,00	4	4	3	32,00	28,00	28,00	15	26	25	F	U	98700,00	33	52582,00
00157100	27,00	5	11	6	31,00	25,60	17,27	16	89	50	F	U	255600,00	38	0,00
00156437	27,00	1	1	1	15,00	15,00	15,00	16	16	63	M	H	213000,00	16	47580,00
00166521	27,00	2	5	3	25,00	20,00	18,20	18	56	50	F	H	342200,00	17	119065,00
00121937	27,00	5	9	4	25,00	25,60	22,56	15	56	72	M	H	164500,00	23	88188,00
00067315	27,00	2	8	5	30,00	27,50	20,25	18	81	77	F	U	86200,00	24	83356,00
00153353	27,00	3	5	3	30,00	25,00	18,20	18	52	70	F	U	88500,00	8	0,00
00182156	27,00	4	5	4	30,00	25,00	22,00	20	41	67	F	H	98700,00	36	57666,00
00045656	27,00	2	2	1	30,00	27,50	27,50	16	20	54	M	H	56600,00	53	33707,00
00088535	26,00	1	10	5	21,00	21,00	8,40	17	130	68	M	H	236000,00	19	66090,00
00052990	26,00	2	18	11	10,00	8,50	5,00	16	130	59	M	H	92700,00	32	62218,00
00031852	26,00	1	5	1	21,00	21,00	15,20	25	67	49	F	H	98500,00	37	54217,00
00022520	26,00	1	5	2	15,00	11,00	9,80	20	75	79	M	U	42100,00	26	31786,00
00074235	26,00	2	12	8	21,00	21,00	13,50	20	123	47	M	H	47300,00	43	43261,00
00057151	26,00	2	10	2	21,00	20,50	15,90	26	63	61	F	U	87500,00	11	42819,00
00165384	26,00	2	12	7	21,00	21,00	14,25	17	92	41	M	H	525600,00	35	134096,00
00120107	26,00	1	12	7	30,00	30,00	18,08	21	123	79	M	U	22500,00	30	33594,00
