caso	AAGE	ACLSWKR_C	ADTIND_C	ADTOCC_C	AHGA_C	AHRSPAY	AHSCOL_C	AMARITL_C	AMJIND_C	AMJOCC_C	ARACE_C	AREORGN_C	ASEX_C	AUNMEM_C	AUNTYPE_C	AWKSTAT_C	CAPGAIN	CAPLOSS	DIVVAL	FILESTAT_C	GRINREG_C	GRINST_C	HHDFMX_C	HHDREL_C	MIGMTR1_C	MIGMTR3_C	MIGMTR4_C	MIGSAME_C	MIGSUN_C	NOEMP	PARENT_C	PEFNTVTY_C	PEMNTVTY_C	PENATVTY_C	PRCITSHP_C	SEOTR_C	VETQVA_C	VETYN_C	WKSWORK	Clase
657	31	9	4	5	3	0	3	5	7	15	5	1	F	9	6	3	0	0	0	6	6	0	2	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	9	0
671	1	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
693	8	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
710	88	9	4	5	10	0	3	7	7	15	5	1	M	9	6	1	0	0	3000	6	6	0	2	5	6	7	8	1	9	0	9	3	3	2	5	0	9	2	0	0
782	47	4	2	3	17	0	3	3	3	14	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
816	42	7	5	1	10	0	3	3	2	3	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
859	35	4	1	4	13	0	3	3	1	7	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	0
878	31	6	3	4	7	0	3	6	7	7	3	1	F	9	6	2	0	0	0	5	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
889	26	9	4	5	17	0	3	3	7	15	5	1	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
895	65	6	2	1	17	0	3	7	2	12	5	1	F	9	6	2	0	0	0	6	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
915	82	9	4	5	13	0	3	3	7	15	3	1	M	9	6	3	0	0	0	2	6	0	3	8	1	1	1	9	8	0	9	2	4	2	5	0	9	2	0	0
943	71	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	0	2	6	0	1	5	6	7	8	1	9	0	9	1	1	2	5	0	9	2	0	0
964	35	4	1	2	3	0	3	3	2	8	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	5	9	2	2	2	5	0	9	2	52	0
965	13	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
976	62	4	3	4	1	0	3	1	6	7	5	1	F	9	6	2	0	2001	0	6	6	0	9	6	1	1	1	9	8	2	9	1	1	2	5	0	9	2	49	0
988	59	6	2	1	10	0	3	3	2	12	5	1	F	9	6	8	0	0	0	3	6	0	3	8	1	1	1	9	8	5	9	2	2	2	5	0	9	2	52	1
990	14	9	4	5	11	0	3	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	7	6	7	8	1	9	0	4	2	2	2	5	0	9	0	0	0
1058	9	9	4	5	11	0	3	5	7	15	2	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	3	3	3	1	0	9	0	0	0
1063	52	6	2	6	16	0	3	3	3	10	5	1	M	9	6	2	0	0	600	3	6	0	1	5	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	1
1081	7	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
1088	31	4	5	3	17	0	3	3	3	6	5	7	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	3	9	4	4	2	5	0	9	2	26	0
1092	35	4	2	4	13	0	3	5	3	7	3	1	F	9	6	6	0	0	0	1	6	0	1	5	1	1	1	9	8	4	9	2	2	2	5	0	9	2	52	0
1134	39	5	3	1	13	0	3	3	5	3	5	1	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	1	9	2	1	2	5	0	9	2	52	0
1161	44	4	2	3	17	0	3	3	4	1	5	1	F	0	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	3	9	1	1	2	5	0	9	2	52	0
1167	73	9	4	5	17	0	3	1	7	15	5	1	F	9	6	3	0	0	0	5	6	0	2	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
1197	43	4	2	4	13	0	3	1	2	1	5	1	F	9	6	1	0	0	0	6	6	0	9	6	6	7	8	1	9	1	9	2	2	2	5	0	9	2	52	0
1200	77	9	4	5	13	0	3	7	7	15	5	1	F	9	6	3	2964	0	0	6	6	0	2	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
1205	45	4	3	3	13	0	3	3	7	12	2	1	F	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	1	9	3	3	3	1	0	9	2	52	0
1256	29	4	2	4	13	0	3	3	3	7	5	4	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	4	9	3	3	3	1	0	9	2	52	0
1288	16	4	3	3	1	0	2	5	6	12	5	1	F	9	6	2	0	0	0	5	6	0	9	3	1	1	1	9	8	6	1	2	2	2	5	2	9	2	26	0
1301	14	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
1323	77	9	4	5	13	0	3	7	7	15	5	1	M	9	6	1	0	0	7200	6	6	0	2	5	6	7	8	1	9	0	9	1	1	1	1	0	9	2	0	0
1347	6	9	4	5	11	0	3	5	7	15	2	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	4	4	4	1	0	9	0	0	0
1353	17	2	1	2	13	0	3	5	2	8	3	1	M	9	6	2	0	0	0	5	6	0	9	3	1	1	1	9	8	1	3	2	2	2	5	2	9	2	4	0
1386	28	4	2	3	9	0	3	1	3	13	5	1	F	9	6	1	0	0	0	1	5	1	1	5	8	8	9	0	1	3	9	2	2	2	5	0	9	2	52	0
1399	41	4	1	2	13	0	3	3	3	14	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	5	9	2	2	2	5	0	9	2	52	0
1425	13	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
1433	35	4	5	2	13	0	3	5	2	8	5	1	M	9	6	1	0	0	0	6	6	0	9	6	6	7	8	1	9	4	9	2	2	2	5	0	9	2	52	0
1441	41	4	3	2	15	0	3	3	7	10	5	1	F	9	6	1	0	0	0	3	3	1	3	8	4	5	5	0	0	2	9	2	2	2	5	0	9	2	52	0
1449	11	9	4	5	11	0	3	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	2	2	2	5	0	9	0	0	0
1491	45	9	4	5	13	0	3	3	7	15	3	1	M	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	2	1	0	0
1544	52	6	3	3	8	0	3	3	6	12	5	1	F	9	6	6	0	0	52	3	6	0	3	8	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
1559	22	4	1	3	17	0	3	5	1	1	3	1	F	9	6	1	0	0	0	5	6	0	9	1	6	7	8	1	9	1	9	2	2	2	5	0	9	2	16	0
1605	50	4	5	4	9	650	3	3	3	7	5	1	M	0	6	1	0	0	300	3	6	0	1	5	6	7	8	1	9	6	9	2	2	2	5	2	9	2	52	0
1655	14	9	4	5	11	0	3	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	4	2	5	0	9	0	0	0
1696	18	4	3	4	2	625	2	5	6	7	3	1	M	0	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	6	9	2	2	2	5	0	9	2	15	0
1739	26	9	4	5	1	0	3	6	7	15	5	1	M	9	6	1	0	0	0	6	4	1	9	6	5	3	3	0	1	1	9	2	2	2	5	0	9	2	30	0
1761	28	4	3	4	13	0	3	5	6	5	5	1	M	9	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	6	9	2	2	2	5	0	9	2	52	0
1785	70	6	1	1	10	0	3	3	1	3	5	1	M	9	6	2	99999	0	42438	2	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	26	1
1796	14	9	4	5	11	0	3	5	7	15	1	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
1801	25	4	1	1	10	0	3	5	1	3	5	1	M	9	6	2	0	0	0	6	6	0	2	5	1	1	1	9	8	5	9	2	2	2	5	0	9	2	52	0
1815	73	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	0	5	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
1819	5	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
1821	2	9	4	5	11	0	3	5	7	15	2	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	3	3	2	5	0	9	0	0	0
1823	64	9	4	5	13	0	3	3	7	15	5	6	M	9	6	1	0	0	0	5	6	0	1	5	6	7	8	1	9	0	9	4	2	2	5	0	9	2	0	0
1868	74	9	4	5	13	0	3	3	7	15	3	1	F	9	6	1	0	0	0	2	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
1920	44	4	5	4	13	0	3	3	2	1	5	1	F	9	4	1	0	0	0	3	6	0	3	8	6	7	8	1	9	3	9	2	2	2	5	0	9	2	30	0
1965	43	9	4	5	17	0	3	3	7	15	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	4	9	2	2	2	5	0	9	2	12	0
1984	34	4	5	3	1	0	3	3	3	6	5	2	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	4	9	4	4	4	1	0	9	2	8	0
2004	25	4	2	3	13	0	3	5	4	1	5	1	F	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	6	9	2	2	2	5	0	9	2	52	0
2013	3	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
2016	58	4	2	3	13	0	3	1	3	1	5	1	F	9	6	2	0	0	0	6	6	0	2	5	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	0
2045	8	9	4	5	11	0	3	5	7	15	1	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	2	2	2	2	5	0	9	0	0	0
2055	44	4	3	3	13	0	3	1	7	6	5	1	M	0	6	6	0	0	0	5	6	0	2	5	1	1	1	9	8	4	9	2	2	2	5	2	9	2	42	0
2136	7	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	3	1	9	3	9	3	3	0	0	0	1	2	2	2	5	0	9	0	0	0
2171	12	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
2180	26	4	3	3	17	0	3	3	6	12	5	1	F	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	6	9	2	2	2	5	0	9	2	8	0
2201	70	9	4	5	13	0	3	3	7	15	5	1	F	9	6	1	0	0	200	2	6	0	1	5	6	7	8	1	9	0	9	1	1	2	5	0	9	2	0	0
2217	11	9	4	5	11	0	3	5	7	15	3	1	M	9	6	1	0	0	0	5	2	1	9	3	5	3	3	0	0	0	3	2	2	2	5	0	9	0	0	0
2259	8	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	3	2	2	5	0	9	0	0	0
2302	16	9	4	5	1	0	2	5	7	15	5	10	F	9	6	3	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	2	0	0
2320	37	9	4	5	17	0	3	3	7	15	5	1	F	9	6	1	0	0	800	3	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
2344	43	4	3	3	3	0	3	3	6	12	5	1	F	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	1	9	2	2	2	5	0	9	2	50	0
2359	54	4	2	6	17	0	3	3	3	10	2	1	M	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	6	9	3	3	3	2	0	9	2	52	0
2363	49	4	2	3	10	0	3	1	3	1	5	1	F	9	4	7	0	0	0	6	6	0	1	5	1	1	1	9	8	3	9	1	1	1	1	0	9	2	52	0
2408	18	4	2	1	2	0	3	5	2	12	5	7	M	9	6	1	0	0	0	5	6	0	9	1	6	7	8	1	9	4	9	4	4	2	5	0	9	2	4	0
2413	44	4	3	3	13	0	3	3	6	12	5	1	M	0	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	0
2414	34	9	4	5	10	0	3	3	7	15	5	6	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	4	4	4	1	0	9	2	0	0
2418	41	4	2	1	10	0	3	3	2	12	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	6	9	2	2	2	5	0	9	2	52	0
2419	46	4	5	1	10	0	3	3	2	3	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	1
2423	2	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
2453	30	4	5	4	13	0	3	5	5	4	5	1	M	0	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	2	9	2	2	2	5	0	9	2	40	0
2479	27	4	3	1	13	0	3	5	7	3	5	1	F	9	6	1	0	0	100	1	6	0	9	1	6	7	8	1	9	6	9	2	2	2	5	0	9	2	52	0
2511	12	9	4	5	11	0	3	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	3	2	2	2	5	0	9	0	0	0
2535	72	9	4	5	13	0	3	3	7	15	5	1	M	9	6	3	6767	0	250	2	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
2550	47	5	1	1	10	0	3	3	2	3	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	1
2591	26	4	1	1	15	0	3	3	1	10	5	1	M	9	6	1	0	1887	0	3	2	1	1	5	4	6	4	0	0	6	9	2	2	2	5	2	9	2	52	0
2592	1	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
2597	37	4	2	2	17	0	3	5	4	11	3	1	M	9	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	1	9	2	2	2	5	0	9	2	24	0
2606	28	9	4	5	1	0	3	5	7	15	3	1	M	9	6	3	0	0	0	5	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
2614	25	4	3	2	9	0	3	5	6	8	5	1	M	9	6	2	0	0	0	6	6	0	9	6	1	1	1	9	8	4	9	2	2	2	5	0	9	2	52	0
2623	16	4	2	4	6	0	2	5	4	7	5	1	M	9	6	1	0	0	2500	6	5	1	9	3	4	5	7	0	0	3	1	3	3	2	5	0	9	2	3	0
2647	29	4	2	1	13	0	3	3	3	10	5	1	F	9	6	1	0	0	0	3	3	1	3	8	4	8	9	0	0	6	9	2	2	2	5	0	9	2	52	0
2715	37	4	3	1	17	0	3	2	7	3	3	1	F	0	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	2	9	2	2	2	5	0	9	2	52	0
2727	11	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
2733	34	4	3	3	17	0	3	5	4	1	5	1	F	9	6	1	0	0	0	6	6	0	1	5	6	7	8	1	9	6	9	1	1	1	1	0	9	2	52	0
2735	25	4	2	1	15	0	3	5	4	10	5	1	F	9	6	1	4650	0	0	6	6	0	2	5	6	7	8	1	9	4	9	1	1	2	5	1	9	2	52	0
2749	90	4	2	1	10	0	3	3	3	10	5	1	F	9	6	2	0	0	0	4	6	0	3	8	1	1	1	9	8	3	9	2	4	2	5	2	9	2	34	0
2791	23	4	1	3	17	0	3	3	2	1	5	1	F	0	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	1	9	2	2	2	5	2	9	2	52	0
2795	55	2	2	3	13	0	3	1	4	1	5	1	F	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	4	9	1	2	2	5	0	9	2	52	0
2799	0	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
2884	27	1	1	1	13	0	3	1	2	3	5	1	F	9	6	2	0	0	0	6	6	0	9	1	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
2911	51	4	2	1	17	925	3	1	2	12	5	1	M	0	6	2	0	0	0	1	6	0	1	5	1	1	1	9	8	2	9	2	2	2	5	0	9	2	52	0
2937	25	4	3	2	13	0	3	5	4	8	5	1	M	9	4	1	0	0	0	5	6	0	9	1	6	7	8	1	9	1	9	2	2	2	5	0	9	2	12	0
2939	82	9	4	5	13	0	3	7	7	15	5	1	M	9	6	3	0	0	0	5	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
2957	8	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
2969	46	2	2	3	13	0	3	5	3	1	5	10	M	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	6	9	4	4	4	4	0	9	2	52	0
2970	24	4	3	2	13	0	3	5	5	8	5	1	M	9	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	3	9	2	2	2	5	0	9	2	52	0
3016	82	9	4	5	6	0	3	3	7	15	5	1	M	9	6	3	1409	0	0	2	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
3022	30	2	1	2	17	0	3	3	2	11	3	1	M	9	6	2	0	0	0	3	6	0	9	1	1	1	1	9	8	6	9	2	2	2	5	2	9	2	52	0
3076	24	4	3	4	10	0	1	5	6	7	3	1	M	0	6	2	0	0	0	6	6	0	9	7	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	0
3077	65	9	4	5	13	0	3	3	7	15	5	1	M	9	6	3	0	1539	200	4	6	0	1	5	1	1	1	9	8	0	9	1	1	2	5	0	9	2	0	0
3104	42	4	1	1	10	0	3	3	2	12	5	1	F	9	6	2	0	0	14	3	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	1
3120	10	9	4	5	11	0	3	5	7	15	5	7	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	4	2	2	5	0	9	0	0	0
3142	9	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
3143	40	6	2	6	10	0	3	3	4	10	5	9	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	1	9	2	4	2	5	0	9	2	52	0
3203	23	4	3	1	10	0	3	5	4	3	3	1	M	9	6	2	0	0	0	6	6	0	2	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
3208	14	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
3221	2	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	2	2	2	5	0	9	0	0	0
3230	25	4	2	3	6	0	3	5	3	6	5	6	F	9	5	1	0	0	0	5	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
3238	62	7	1	3	10	0	3	7	2	1	5	1	M	0	6	1	0	0	0	1	4	1	1	5	4	8	9	0	1	1	9	2	2	2	5	0	9	2	52	0
3243	48	4	2	3	13	805	3	3	2	1	5	1	F	0	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	4	9	2	2	2	5	0	9	2	52	0
3264	10	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	2	2	2	5	0	9	0	0	0
